Filename,Sign
05670.ppm,Yield
05671.ppm,Keep left
05672.ppm,Keep right
05673.ppm,Bicycles crossing
05674.ppm,Road work
05675.ppm,Yield
05676.ppm,No entry
05677.ppm,Keep left
05678.ppm,Turn right ahead
05679.ppm,Go straight or right
05680.ppm,Priority road
05681.ppm,Dangerous curve to the right
05682.ppm,Right-of-way at the next intersection
05683.ppm,Stop
05684.ppm,Speed limit (70km/h)
05685.ppm,Speed limit (120km/h)
05686.ppm,Yield
05687.ppm,Keep right
05688.ppm,Speed limit (120km/h)
05689.ppm,Speed limit (60km/h)
05690.ppm,Yield
05691.ppm,General caution
05692.ppm,Speed limit (80km/h)
05693.ppm,Slippery road
05694.ppm,Speed limit (70km/h)
05695.ppm,No passing
05696.ppm,Speed limit (100km/h)
05697.ppm,No passing for vechiles over 3.5 metric tons
05698.ppm,Speed limit (70km/h)
05699.ppm,Speed limit (20km/h)
05700.ppm,Yield
05701.ppm,Speed limit (70km/h)
05702.ppm,Beware of ice/snow
05703.ppm,Yield
05704.ppm,General caution
05705.ppm,Right-of-way at the next intersection
05706.ppm,Speed limit (50km/h)
05707.ppm,Yield
05708.ppm,Speed limit (100km/h)
05709.ppm,Speed limit (30km/h)
05710.ppm,No entry
05711.ppm,Priority road
05712.ppm,Speed limit (80km/h)
05713.ppm,No passing for vechiles over 3.5 metric tons
05714.ppm,No passing
05715.ppm,Speed limit (100km/h)
05716.ppm,Priority road
05717.ppm,Speed limit (80km/h)
05718.ppm,Traffic signals
05719.ppm,Speed limit (60km/h)
05720.ppm,Yield
05721.ppm,Dangerous curve to the right
05722.ppm,Speed limit (60km/h)
05723.ppm,Speed limit (50km/h)
05724.ppm,Speed limit (80km/h)
05725.ppm,Priority road
05726.ppm,Dangerous curve to the left
05727.ppm,Keep right
05728.ppm,Speed limit (60km/h)
05729.ppm,No passing for vechiles over 3.5 metric tons
05730.ppm,No vechiles
05731.ppm,Road work
05732.ppm,Speed limit (80km/h)
05733.ppm,Wild animals crossing
05734.ppm,No passing
05735.ppm,Speed limit (60km/h)
05736.ppm,Speed limit (120km/h)
05737.ppm,Yield
05738.ppm,End of all speed and passing limits
05739.ppm,No passing for vechiles over 3.5 metric tons
05740.ppm,Keep right
05741.ppm,Speed limit (80km/h)
05742.ppm,Keep right
05743.ppm,Speed limit (100km/h)
05744.ppm,Keep right
05745.ppm,Stop
05746.ppm,Speed limit (100km/h)
05747.ppm,Right-of-way at the next intersection
05748.ppm,Speed limit (50km/h)
05749.ppm,Turn right ahead
05750.ppm,Road narrows on the right
05751.ppm,General caution
05752.ppm,Road work
05753.ppm,No passing for vechiles over 3.5 metric tons
05754.ppm,Ahead only
05755.ppm,Yield
05756.ppm,Speed limit (30km/h)
05757.ppm,Speed limit (70km/h)
05758.ppm,Speed limit (70km/h)
05759.ppm,Yield
05760.ppm,Dangerous curve to the right
05761.ppm,Speed limit (30km/h)
05762.ppm,Keep right
05763.ppm,Road work
05764.ppm,Go straight or left
05765.ppm,General caution
05766.ppm,Keep right
05767.ppm,Road work
05768.ppm,Road work
05769.ppm,Speed limit (30km/h)
05770.ppm,Speed limit (120km/h)
05771.ppm,Keep right
05772.ppm,Speed limit (100km/h)
05773.ppm,Speed limit (30km/h)
05774.ppm,Priority road
05775.ppm,Bicycles crossing
05776.ppm,Stop
05777.ppm,Right-of-way at the next intersection
05778.ppm,End of no passing by vechiles over 3.5 metric tons
05779.ppm,No passing
05780.ppm,Right-of-way at the next intersection
05781.ppm,Keep left
05782.ppm,Speed limit (30km/h)
05783.ppm,Speed limit (120km/h)
05784.ppm,Speed limit (60km/h)
05785.ppm,No passing for vechiles over 3.5 metric tons
05786.ppm,Speed limit (50km/h)
05787.ppm,No vechiles
05788.ppm,Speed limit (70km/h)
05789.ppm,Speed limit (80km/h)
05790.ppm,No entry
05791.ppm,Keep right
05792.ppm,General caution
05793.ppm,No passing
05794.ppm,Yield
05795.ppm,Keep left
05796.ppm,Slippery road
05797.ppm,Speed limit (80km/h)
05798.ppm,Wild animals crossing
05799.ppm,No passing for vechiles over 3.5 metric tons
05800.ppm,No vechiles
05801.ppm,Go straight or left
05802.ppm,Dangerous curve to the left
05803.ppm,Speed limit (60km/h)
05804.ppm,Speed limit (60km/h)
05805.ppm,Yield
05806.ppm,Speed limit (70km/h)
05807.ppm,Ahead only
05808.ppm,Speed limit (70km/h)
05809.ppm,Ahead only
05810.ppm,Speed limit (50km/h)
05811.ppm,Children crossing
05812.ppm,Road narrows on the right
05813.ppm,Speed limit (70km/h)
05814.ppm,Speed limit (30km/h)
05815.ppm,Yield
05816.ppm,Speed limit (80km/h)
05817.ppm,Speed limit (100km/h)
05818.ppm,No vechiles
05819.ppm,Stop
05820.ppm,Road work
05821.ppm,Speed limit (70km/h)
05822.ppm,Yield
05823.ppm,Priority road
05824.ppm,No entry
05825.ppm,Stop
05826.ppm,Speed limit (50km/h)
05827.ppm,Road work
05828.ppm,Speed limit (100km/h)
05829.ppm,Speed limit (80km/h)
05830.ppm,Speed limit (100km/h)
05831.ppm,Speed limit (120km/h)
05832.ppm,Yield
05833.ppm,Right-of-way at the next intersection
05834.ppm,Go straight or left
05835.ppm,Speed limit (30km/h)
05836.ppm,Speed limit (120km/h)
05837.ppm,Traffic signals
05838.ppm,Speed limit (60km/h)
05839.ppm,Yield
05840.ppm,Turn right ahead
05841.ppm,Speed limit (30km/h)
05842.ppm,General caution
05843.ppm,Keep right
05844.ppm,Roundabout mandatory
05845.ppm,Speed limit (70km/h)
05846.ppm,Bumpy road
05847.ppm,Speed limit (70km/h)
05848.ppm,Traffic signals
05849.ppm,Speed limit (50km/h)
05850.ppm,No passing for vechiles over 3.5 metric tons
05851.ppm,General caution
05852.ppm,Slippery road
05853.ppm,Speed limit (30km/h)
05854.ppm,Speed limit (80km/h)
05855.ppm,Speed limit (100km/h)
05856.ppm,Priority road
05857.ppm,Speed limit (30km/h)
05858.ppm,Priority road
05859.ppm,Yield
05860.ppm,Speed limit (50km/h)
05861.ppm,Priority road
05862.ppm,Priority road
05863.ppm,End of speed limit (80km/h)
05864.ppm,Right-of-way at the next intersection
05865.ppm,Vechiles over 3.5 metric tons prohibited
05866.ppm,Priority road
05867.ppm,Priority road
05868.ppm,Speed limit (60km/h)
05869.ppm,Road work
05870.ppm,General caution
05871.ppm,Wild animals crossing
05872.ppm,Speed limit (50km/h)
05873.ppm,Yield
05874.ppm,Speed limit (100km/h)
05875.ppm,Wild animals crossing
05876.ppm,Priority road
05877.ppm,Keep right
05878.ppm,Speed limit (70km/h)
05879.ppm,Speed limit (30km/h)
05880.ppm,Yield
05881.ppm,Keep right
05882.ppm,Traffic signals
05883.ppm,Keep right
05884.ppm,Priority road
05885.ppm,Speed limit (50km/h)
05886.ppm,Speed limit (30km/h)
05887.ppm,Bicycles crossing
05888.ppm,Speed limit (80km/h)
05889.ppm,Priority road
05890.ppm,Ahead only
05891.ppm,Beware of ice/snow
05892.ppm,No entry
05893.ppm,Yield
05894.ppm,Road narrows on the right
05895.ppm,Pedestrians
05896.ppm,Beware of ice/snow
05897.ppm,No passing for vechiles over 3.5 metric tons
05898.ppm,Go straight or right
05899.ppm,Keep right
05900.ppm,Keep right
05901.ppm,Yield
05902.ppm,Speed limit (60km/h)
05903.ppm,Speed limit (30km/h)
05904.ppm,Road work
05905.ppm,Speed limit (50km/h)
05906.ppm,Road work
05907.ppm,Keep right
05908.ppm,Yield
05909.ppm,General caution
05910.ppm,Ahead only
05911.ppm,Stop
05912.ppm,Speed limit (30km/h)
05913.ppm,Right-of-way at the next intersection
05914.ppm,Yield
05915.ppm,Road work
05916.ppm,Yield
05917.ppm,No passing for vechiles over 3.5 metric tons
05918.ppm,Keep right
05919.ppm,Road work
05920.ppm,Speed limit (80km/h)
05921.ppm,No entry
05922.ppm,End of speed limit (80km/h)
05923.ppm,No entry
05924.ppm,General caution
05925.ppm,Right-of-way at the next intersection
05926.ppm,Bicycles crossing
05927.ppm,Stop
05928.ppm,Ahead only
05929.ppm,Bicycles crossing
05930.ppm,Keep right
05931.ppm,No passing for vechiles over 3.5 metric tons
05932.ppm,Speed limit (30km/h)
05933.ppm,Road work
05934.ppm,Children crossing
05935.ppm,Speed limit (80km/h)
05936.ppm,Beware of ice/snow
05937.ppm,General caution
05938.ppm,Speed limit (100km/h)
05939.ppm,Speed limit (30km/h)
05940.ppm,Stop
05941.ppm,Speed limit (20km/h)
05942.ppm,Speed limit (30km/h)
05943.ppm,Yield
05944.ppm,Speed limit (30km/h)
05945.ppm,Speed limit (50km/h)
05946.ppm,Speed limit (30km/h)
05947.ppm,Yield
05948.ppm,Speed limit (60km/h)
05949.ppm,End of no passing
05950.ppm,No vechiles
05951.ppm,Speed limit (70km/h)
05952.ppm,Speed limit (70km/h)
05953.ppm,Speed limit (80km/h)
05954.ppm,Keep left
05955.ppm,Speed limit (120km/h)
05956.ppm,Double curve
05957.ppm,Speed limit (80km/h)
05958.ppm,Speed limit (70km/h)
05959.ppm,Beware of ice/snow
05960.ppm,No passing for vechiles over 3.5 metric tons
05961.ppm,Yield
05962.ppm,Keep right
05963.ppm,General caution
05964.ppm,Speed limit (30km/h)
05965.ppm,Yield
05966.ppm,Wild animals crossing
05967.ppm,Speed limit (100km/h)
05968.ppm,Yield
05969.ppm,Yield
05970.ppm,Ahead only
05971.ppm,Yield
05972.ppm,End of speed limit (80km/h)
05973.ppm,Stop
05974.ppm,Speed limit (100km/h)
05975.ppm,Speed limit (30km/h)
05976.ppm,No entry
05977.ppm,General caution
05978.ppm,Go straight or right
05979.ppm,Speed limit (70km/h)
05980.ppm,Speed limit (70km/h)
05981.ppm,Speed limit (60km/h)
05982.ppm,Speed limit (60km/h)
05983.ppm,No passing for vechiles over 3.5 metric tons
05984.ppm,No entry
05985.ppm,No vechiles
05986.ppm,No passing for vechiles over 3.5 metric tons
05987.ppm,Speed limit (60km/h)
05988.ppm,Priority road
05989.ppm,Beware of ice/snow
05990.ppm,Vechiles over 3.5 metric tons prohibited
05991.ppm,Priority road
05992.ppm,Go straight or left
05993.ppm,Keep left
05994.ppm,No entry
05995.ppm,No vechiles
05996.ppm,Slippery road
05997.ppm,Bicycles crossing
05998.ppm,Double curve
05999.ppm,General caution
06000.ppm,Beware of ice/snow
06001.ppm,Vechiles over 3.5 metric tons prohibited
06002.ppm,Right-of-way at the next intersection
06003.ppm,Speed limit (30km/h)
06004.ppm,Dangerous curve to the left
06005.ppm,Speed limit (80km/h)
06006.ppm,Speed limit (80km/h)
06007.ppm,Keep right
06008.ppm,Traffic signals
06009.ppm,Speed limit (80km/h)
06010.ppm,Children crossing
06011.ppm,Wild animals crossing
06012.ppm,End of no passing by vechiles over 3.5 metric tons
06013.ppm,Speed limit (20km/h)
06014.ppm,Yield
06015.ppm,Speed limit (80km/h)
06016.ppm,Turn right ahead
06017.ppm,Speed limit (120km/h)
06018.ppm,Speed limit (50km/h)
06019.ppm,Speed limit (70km/h)
06020.ppm,Keep right
06021.ppm,Wild animals crossing
06022.ppm,Speed limit (60km/h)
06023.ppm,Bumpy road
06024.ppm,End of speed limit (80km/h)
06025.ppm,No entry
06026.ppm,Right-of-way at the next intersection
06027.ppm,Keep right
06028.ppm,No passing for vechiles over 3.5 metric tons
06029.ppm,Traffic signals
06030.ppm,No passing for vechiles over 3.5 metric tons
06031.ppm,Vechiles over 3.5 metric tons prohibited
06032.ppm,Keep right
06033.ppm,Speed limit (100km/h)
06034.ppm,Yield
06035.ppm,Yield
06036.ppm,Keep right
06037.ppm,Yield
06038.ppm,End of speed limit (80km/h)
06039.ppm,Priority road
06040.ppm,Speed limit (70km/h)
06041.ppm,Beware of ice/snow
06042.ppm,General caution
06043.ppm,Speed limit (70km/h)
06044.ppm,Keep right
06045.ppm,Speed limit (80km/h)
06046.ppm,No passing
06047.ppm,Dangerous curve to the left
06048.ppm,Speed limit (120km/h)
06049.ppm,Speed limit (120km/h)
06050.ppm,General caution
06051.ppm,Bicycles crossing
06052.ppm,Right-of-way at the next intersection
06053.ppm,Speed limit (60km/h)
06054.ppm,Speed limit (80km/h)
06055.ppm,Speed limit (20km/h)
06056.ppm,Vechiles over 3.5 metric tons prohibited
06057.ppm,Speed limit (80km/h)
06058.ppm,Traffic signals
06059.ppm,Keep right
06060.ppm,Speed limit (60km/h)
06061.ppm,Road work
06062.ppm,Wild animals crossing
06063.ppm,Speed limit (60km/h)
06064.ppm,Yield
06065.ppm,Speed limit (50km/h)
06066.ppm,Right-of-way at the next intersection
06067.ppm,Speed limit (70km/h)
06068.ppm,Priority road
06069.ppm,Beware of ice/snow
06070.ppm,Speed limit (30km/h)
06071.ppm,No vechiles
06072.ppm,Slippery road
06073.ppm,Traffic signals
06074.ppm,Speed limit (50km/h)
06075.ppm,Roundabout mandatory
06076.ppm,General caution
06077.ppm,No passing
06078.ppm,Speed limit (70km/h)
06079.ppm,Speed limit (60km/h)
06080.ppm,Yield
06081.ppm,Double curve
06082.ppm,Keep right
06083.ppm,Road work
06084.ppm,Bumpy road
06085.ppm,Slippery road
06086.ppm,Speed limit (50km/h)
06087.ppm,Speed limit (70km/h)
06088.ppm,Right-of-way at the next intersection
06089.ppm,Speed limit (60km/h)
06090.ppm,Pedestrians
06091.ppm,Speed limit (30km/h)
06092.ppm,Children crossing
06093.ppm,Keep left
06094.ppm,No entry
06095.ppm,Yield
06096.ppm,Turn right ahead
06097.ppm,No passing for vechiles over 3.5 metric tons
06098.ppm,Speed limit (30km/h)
06099.ppm,End of no passing by vechiles over 3.5 metric tons
06100.ppm,Ahead only
06101.ppm,Dangerous curve to the left
06102.ppm,Speed limit (50km/h)
06103.ppm,Priority road
06104.ppm,Priority road
06105.ppm,Speed limit (80km/h)
06106.ppm,Speed limit (80km/h)
06107.ppm,Speed limit (120km/h)
06108.ppm,Speed limit (100km/h)
06109.ppm,Road work
06110.ppm,Speed limit (120km/h)
06111.ppm,No passing for vechiles over 3.5 metric tons
06112.ppm,Speed limit (100km/h)
06113.ppm,Yield
06114.ppm,Speed limit (50km/h)
06115.ppm,No passing
06116.ppm,Speed limit (60km/h)
06117.ppm,Speed limit (70km/h)
06118.ppm,Priority road
06119.ppm,Roundabout mandatory
06120.ppm,Speed limit (120km/h)
06121.ppm,Speed limit (70km/h)
06122.ppm,Keep right
06123.ppm,End of speed limit (80km/h)
06124.ppm,General caution
06125.ppm,Speed limit (50km/h)
06126.ppm,Speed limit (80km/h)
06127.ppm,Speed limit (60km/h)
06128.ppm,Speed limit (100km/h)
06129.ppm,No passing
06130.ppm,Children crossing
06131.ppm,Priority road
06132.ppm,Priority road
06133.ppm,Children crossing
06134.ppm,Speed limit (60km/h)
06135.ppm,Bicycles crossing
06136.ppm,End of no passing by vechiles over 3.5 metric tons
06137.ppm,Speed limit (120km/h)
06138.ppm,Wild animals crossing
06139.ppm,Right-of-way at the next intersection
06140.ppm,Ahead only
06141.ppm,General caution
06142.ppm,No entry
06143.ppm,Speed limit (30km/h)
06144.ppm,Speed limit (50km/h)
06145.ppm,Speed limit (60km/h)
06146.ppm,Keep right
06147.ppm,Keep left
06148.ppm,No entry
06149.ppm,No vechiles
06150.ppm,Speed limit (120km/h)
06151.ppm,Ahead only
06152.ppm,Speed limit (70km/h)
06153.ppm,Speed limit (70km/h)
06154.ppm,No passing for vechiles over 3.5 metric tons
06155.ppm,No passing for vechiles over 3.5 metric tons
06156.ppm,No vechiles
06157.ppm,Speed limit (70km/h)
06158.ppm,Children crossing
06159.ppm,Turn right ahead
06160.ppm,Speed limit (70km/h)
06161.ppm,Speed limit (70km/h)
06162.ppm,Keep right
06163.ppm,Keep right
06164.ppm,Wild animals crossing
06165.ppm,Yield
06166.ppm,Wild animals crossing
06167.ppm,Speed limit (120km/h)
06168.ppm,Right-of-way at the next intersection
06169.ppm,Stop
06170.ppm,Speed limit (120km/h)
06171.ppm,Right-of-way at the next intersection
06172.ppm,Speed limit (30km/h)
06173.ppm,Speed limit (80km/h)
06174.ppm,Speed limit (30km/h)
06175.ppm,No passing for vechiles over 3.5 metric tons
06176.ppm,No vechiles
06177.ppm,Speed limit (70km/h)
06178.ppm,No passing for vechiles over 3.5 metric tons
06179.ppm,Speed limit (100km/h)
06180.ppm,Priority road
06181.ppm,Speed limit (50km/h)
06182.ppm,Traffic signals
06183.ppm,Slippery road
06184.ppm,No passing
06185.ppm,Speed limit (50km/h)
06186.ppm,Speed limit (30km/h)
06187.ppm,Speed limit (60km/h)
06188.ppm,Priority road
06189.ppm,Speed limit (30km/h)
06190.ppm,Wild animals crossing
06191.ppm,No passing for vechiles over 3.5 metric tons
06192.ppm,Speed limit (70km/h)
06193.ppm,Speed limit (30km/h)
06194.ppm,End of speed limit (80km/h)
06195.ppm,No passing for vechiles over 3.5 metric tons
06196.ppm,Keep right
06197.ppm,Slippery road
06198.ppm,Speed limit (70km/h)
06199.ppm,Road work
06200.ppm,Speed limit (50km/h)
06201.ppm,No vechiles
06202.ppm,Speed limit (60km/h)
06203.ppm,Speed limit (30km/h)
06204.ppm,Speed limit (50km/h)
06205.ppm,Speed limit (30km/h)
06206.ppm,Speed limit (100km/h)
06207.ppm,Wild animals crossing
06208.ppm,Speed limit (100km/h)
06209.ppm,Priority road
06210.ppm,Priority road
06211.ppm,Turn left ahead
06212.ppm,Speed limit (120km/h)
06213.ppm,End of speed limit (80km/h)
06214.ppm,Speed limit (100km/h)
06215.ppm,Speed limit (100km/h)
06216.ppm,Wild animals crossing
06217.ppm,Keep right
06218.ppm,Right-of-way at the next intersection
06219.ppm,Priority road
06220.ppm,Wild animals crossing
06221.ppm,Road work
06222.ppm,Speed limit (70km/h)
06223.ppm,No passing for vechiles over 3.5 metric tons
06224.ppm,Road work
06225.ppm,Children crossing
06226.ppm,Priority road
06227.ppm,End of speed limit (80km/h)
06228.ppm,Turn right ahead
06229.ppm,Beware of ice/snow
06230.ppm,No entry
06231.ppm,Speed limit (50km/h)
06232.ppm,Turn left ahead
06233.ppm,Turn left ahead
06234.ppm,Road work
06235.ppm,Speed limit (60km/h)
06236.ppm,Turn right ahead
06237.ppm,Speed limit (70km/h)
06238.ppm,Road work
06239.ppm,Speed limit (60km/h)
06240.ppm,Speed limit (50km/h)
06241.ppm,Speed limit (100km/h)
06242.ppm,Right-of-way at the next intersection
06243.ppm,Road work
06244.ppm,No passing for vechiles over 3.5 metric tons
06245.ppm,Speed limit (30km/h)
06246.ppm,Speed limit (50km/h)
06247.ppm,Speed limit (50km/h)
06248.ppm,General caution
06249.ppm,Speed limit (80km/h)
06250.ppm,Roundabout mandatory
06251.ppm,Go straight or left
06252.ppm,General caution
06253.ppm,Keep right
06254.ppm,Speed limit (100km/h)
06255.ppm,Speed limit (30km/h)
06256.ppm,No vechiles
06257.ppm,Wild animals crossing
06258.ppm,Priority road
06259.ppm,Roundabout mandatory
06260.ppm,Wild animals crossing
06261.ppm,Speed limit (100km/h)
06262.ppm,Dangerous curve to the left
06263.ppm,End of speed limit (80km/h)
06264.ppm,Road work
06265.ppm,Turn right ahead
06266.ppm,Speed limit (70km/h)
06267.ppm,Traffic signals
06268.ppm,Speed limit (100km/h)
06269.ppm,Priority road
06270.ppm,No entry
06271.ppm,Wild animals crossing
06272.ppm,Speed limit (20km/h)
06273.ppm,Right-of-way at the next intersection
06274.ppm,No passing for vechiles over 3.5 metric tons
06275.ppm,Speed limit (50km/h)
06276.ppm,Speed limit (50km/h)
06277.ppm,Speed limit (70km/h)
06278.ppm,Speed limit (120km/h)
06279.ppm,No passing
06280.ppm,Speed limit (120km/h)
06281.ppm,No passing
06282.ppm,Speed limit (80km/h)
06283.ppm,Pedestrians
06284.ppm,No passing
06285.ppm,Wild animals crossing
06286.ppm,Speed limit (100km/h)
06287.ppm,Keep right
06288.ppm,Wild animals crossing
06289.ppm,Keep right
06290.ppm,General caution
06291.ppm,Dangerous curve to the left
06292.ppm,Speed limit (120km/h)
06293.ppm,Dangerous curve to the right
06294.ppm,Vechiles over 3.5 metric tons prohibited
06295.ppm,Roundabout mandatory
06296.ppm,Slippery road
06297.ppm,Wild animals crossing
06298.ppm,Ahead only
06299.ppm,Speed limit (60km/h)
06300.ppm,Speed limit (30km/h)
06301.ppm,Speed limit (80km/h)
06302.ppm,Speed limit (80km/h)
06303.ppm,Speed limit (70km/h)
06304.ppm,No passing for vechiles over 3.5 metric tons
06305.ppm,Yield
06306.ppm,Turn left ahead
06307.ppm,No passing for vechiles over 3.5 metric tons
06308.ppm,Road work
06309.ppm,No entry
06310.ppm,Children crossing
06311.ppm,Speed limit (80km/h)
06312.ppm,Right-of-way at the next intersection
06313.ppm,Keep right
06314.ppm,Right-of-way at the next intersection
06315.ppm,Vechiles over 3.5 metric tons prohibited
06316.ppm,Yield
06317.ppm,Traffic signals
06318.ppm,Yield
06319.ppm,Keep right
06320.ppm,Speed limit (70km/h)
06321.ppm,Keep right
06322.ppm,Turn right ahead
06323.ppm,Speed limit (70km/h)
06324.ppm,General caution
06325.ppm,Speed limit (80km/h)
06326.ppm,Yield
06327.ppm,No passing for vechiles over 3.5 metric tons
06328.ppm,No passing for vechiles over 3.5 metric tons
06329.ppm,Roundabout mandatory
06330.ppm,Speed limit (120km/h)
06331.ppm,Speed limit (50km/h)
06332.ppm,Turn right ahead
06333.ppm,Road work
06334.ppm,No passing for vechiles over 3.5 metric tons
06335.ppm,No passing for vechiles over 3.5 metric tons
06336.ppm,Speed limit (80km/h)
06337.ppm,Speed limit (30km/h)
06338.ppm,Double curve
06339.ppm,No vechiles
06340.ppm,Traffic signals
06341.ppm,Right-of-way at the next intersection
06342.ppm,Speed limit (60km/h)
06343.ppm,Go straight or left
06344.ppm,Ahead only
06345.ppm,Speed limit (100km/h)
06346.ppm,Speed limit (120km/h)
06347.ppm,Speed limit (70km/h)
06348.ppm,Speed limit (50km/h)
06349.ppm,No passing for vechiles over 3.5 metric tons
06350.ppm,Speed limit (120km/h)
06351.ppm,General caution
06352.ppm,Ahead only
06353.ppm,Speed limit (50km/h)
06354.ppm,Speed limit (70km/h)
06355.ppm,Stop
06356.ppm,Stop
06357.ppm,Ahead only
06358.ppm,Right-of-way at the next intersection
06359.ppm,Go straight or right
06360.ppm,Speed limit (20km/h)
06361.ppm,No entry
06362.ppm,Dangerous curve to the right
06363.ppm,No entry
06364.ppm,Right-of-way at the next intersection
06365.ppm,Keep right
06366.ppm,General caution
06367.ppm,Ahead only
06368.ppm,Speed limit (30km/h)
06369.ppm,Speed limit (30km/h)
06370.ppm,Road work
06371.ppm,Speed limit (50km/h)
06372.ppm,Speed limit (50km/h)
06373.ppm,Roundabout mandatory
06374.ppm,Speed limit (80km/h)
06375.ppm,Speed limit (80km/h)
06376.ppm,Beware of ice/snow
06377.ppm,Priority road
06378.ppm,Ahead only
06379.ppm,Keep right
06380.ppm,Road work
06381.ppm,Speed limit (30km/h)
06382.ppm,No passing
06383.ppm,No passing for vechiles over 3.5 metric tons
06384.ppm,Right-of-way at the next intersection
06385.ppm,Speed limit (30km/h)
06386.ppm,General caution
06387.ppm,Keep left
06388.ppm,Speed limit (70km/h)
06389.ppm,Yield
06390.ppm,Keep left
06391.ppm,No vechiles
06392.ppm,Speed limit (30km/h)
06393.ppm,Speed limit (30km/h)
06394.ppm,General caution
06395.ppm,Right-of-way at the next intersection
06396.ppm,End of speed limit (80km/h)
06397.ppm,Priority road
06398.ppm,Ahead only
06399.ppm,Priority road
06400.ppm,Speed limit (70km/h)
06401.ppm,No passing
06402.ppm,Yield
06403.ppm,Ahead only
06404.ppm,Speed limit (120km/h)
06405.ppm,Keep right
06406.ppm,Speed limit (80km/h)
06407.ppm,Road work
06408.ppm,Speed limit (70km/h)
06409.ppm,End of all speed and passing limits
06410.ppm,Keep right
06411.ppm,No passing for vechiles over 3.5 metric tons
06412.ppm,Go straight or left
06413.ppm,No vechiles
06414.ppm,Speed limit (70km/h)
06415.ppm,Speed limit (30km/h)
06416.ppm,Wild animals crossing
06417.ppm,Yield
06418.ppm,Speed limit (100km/h)
06419.ppm,General caution
06420.ppm,Road work
06421.ppm,Speed limit (30km/h)
06422.ppm,General caution
06423.ppm,Speed limit (30km/h)
06424.ppm,Speed limit (70km/h)
06425.ppm,No passing
06426.ppm,Speed limit (120km/h)
06427.ppm,Bumpy road
06428.ppm,Priority road
06429.ppm,Speed limit (80km/h)
06430.ppm,Speed limit (80km/h)
06431.ppm,Road work
06432.ppm,No entry
06433.ppm,Speed limit (50km/h)
06434.ppm,Right-of-way at the next intersection
06435.ppm,No passing
06436.ppm,Keep right
06437.ppm,Dangerous curve to the right
06438.ppm,Speed limit (70km/h)
06439.ppm,Priority road
06440.ppm,Go straight or right
06441.ppm,Speed limit (70km/h)
06442.ppm,Dangerous curve to the left
06443.ppm,Right-of-way at the next intersection
06444.ppm,No passing
06445.ppm,General caution
06446.ppm,No passing for vechiles over 3.5 metric tons
06447.ppm,Right-of-way at the next intersection
06448.ppm,Speed limit (80km/h)
06449.ppm,Keep right
06450.ppm,Speed limit (80km/h)
06451.ppm,No passing for vechiles over 3.5 metric tons
06452.ppm,Keep right
06453.ppm,Yield
06454.ppm,Bumpy road
06455.ppm,No passing
06456.ppm,Go straight or right
06457.ppm,Speed limit (20km/h)
06458.ppm,Ahead only
06459.ppm,End of all speed and passing limits
06460.ppm,Traffic signals
06461.ppm,Keep right
06462.ppm,Priority road
06463.ppm,End of speed limit (80km/h)
06464.ppm,Speed limit (60km/h)
06465.ppm,Priority road
06466.ppm,Speed limit (50km/h)
06467.ppm,Speed limit (70km/h)
06468.ppm,Right-of-way at the next intersection
06469.ppm,Speed limit (50km/h)
06470.ppm,Speed limit (60km/h)
06471.ppm,Speed limit (70km/h)
06472.ppm,No passing for vechiles over 3.5 metric tons
06473.ppm,Go straight or right
06474.ppm,Keep right
06475.ppm,Yield
06476.ppm,Children crossing
06477.ppm,Keep right
06478.ppm,Road work
06479.ppm,Ahead only
06480.ppm,Go straight or right
06481.ppm,Yield
06482.ppm,Speed limit (30km/h)
06483.ppm,Speed limit (70km/h)
06484.ppm,Speed limit (120km/h)
06485.ppm,No passing for vechiles over 3.5 metric tons
06486.ppm,Speed limit (60km/h)
06487.ppm,Priority road
06488.ppm,Speed limit (50km/h)
06489.ppm,Vechiles over 3.5 metric tons prohibited
06490.ppm,Speed limit (50km/h)
06491.ppm,Yield
06492.ppm,Yield
06493.ppm,Speed limit (50km/h)
06494.ppm,Speed limit (100km/h)
06495.ppm,Speed limit (80km/h)
06496.ppm,Speed limit (120km/h)
06497.ppm,No passing for vechiles over 3.5 metric tons
06498.ppm,Yield
06499.ppm,Keep right
06500.ppm,Wild animals crossing
06501.ppm,Bumpy road
06502.ppm,Road work
06503.ppm,Priority road
06504.ppm,Beware of ice/snow
06505.ppm,Speed limit (70km/h)
06506.ppm,Keep right
06507.ppm,Ahead only
06508.ppm,Keep right
06509.ppm,Keep right
06510.ppm,Speed limit (120km/h)
06511.ppm,No passing
06512.ppm,Yield
06513.ppm,Speed limit (50km/h)
06514.ppm,Speed limit (50km/h)
06515.ppm,Traffic signals
06516.ppm,Speed limit (30km/h)
06517.ppm,No passing
06518.ppm,Right-of-way at the next intersection
06519.ppm,Speed limit (120km/h)
06520.ppm,No passing for vechiles over 3.5 metric tons
06521.ppm,Bicycles crossing
06522.ppm,Bicycles crossing
06523.ppm,Speed limit (120km/h)
06524.ppm,No passing for vechiles over 3.5 metric tons
06525.ppm,Speed limit (50km/h)
06526.ppm,No passing for vechiles over 3.5 metric tons
06527.ppm,Speed limit (80km/h)
06528.ppm,No passing for vechiles over 3.5 metric tons
06529.ppm,Right-of-way at the next intersection
06530.ppm,No vechiles
06531.ppm,Ahead only
06532.ppm,Beware of ice/snow
06533.ppm,No entry
06534.ppm,Yield
